Month,Temperature (C),Precipitation (cm),Height (cm),Deer,Meteor Destruction
0,-0.73,24.77,9.60,1,0
1,3.33,31.23,27.90,2,0
2,18.23,34.25,0.00,0,1
3,19.09,29.89,0.02,0,0
4,20.94,31.46,0.02,0,0
5,31.45,25.37,0.02,0,0
6,23.56,18.53,0.02,0,0
7,28.73,11.36,0.02,0,0
8,22.46,3.52,0.00,0,1
9,8.00,7.06,9.02,0,0
10,3.65,11.10,0.00,0,1
11,6.14,15.16,0.00,0,1
12,2.24,24.25,0.00,0,1
13,12.14,31.23,3.18,0,0
14,14.66,31.95,3.91,1,0
15,15.39,37.37,0.00,0,1
16,18.69,26.82,0.03,0,0
17,31.52,20.05,0.00,0,1
18,26.43,8.86,0.00,0,0
19,24.97,7.77,0.00,0,0
20,18.00,5.03,0.00,0,1
21,17.46,2.47,0.04,0,0
22,11.72,6.87,2.46,0,0
23,8.10,18.80,16.33,0,0
24,1.44,23.91,0.00,0,1
25,7.78,32.50,14.75,0,0
26,13.14,29.79,16.67,1,0
27,20.86,35.08,0.00,0,1
28,25.00,30.95,0.00,0,0
29,26.59,21.17,0.00,0,0
30,31.44,9.51,0.00,0,0
31,23.79,5.80,0.00,0,0
32,21.32,3.73,0.00,0,0
33,17.23,6.66,0.07,0,0
34,3.62,5.04,11.83,0,0
35,4.32,12.25,29.30,1,0
36,0.36,21.58,39.78,2,0
37,9.52,31.85,43.99,3,0
38,14.30,34.49,37.23,4,0
39,21.65,28.28,27.07,5,0
40,26.78,25.96,0.00,0,1
41,30.73,16.99,0.00,0,0
42,28.46,13.55,0.00,0,0
43,28.33,2.11,0.00,0,0
44,19.68,0.00,0.00,0,0
45,16.17,0.00,0.10,0,0
46,2.89,5.37,11.45,0,0
47,3.84,14.09,0.00,0,1
48,8.82,22.90,12.16,0,0
49,9.94,30.87,20.36,1,0
50,8.69,32.17,0.00,0,1
51,21.58,37.12,0.00,0,0
52,23.09,24.17,0.00,0,0
53,31.28,20.84,0.00,0,0
54,30.61,13.79,0.00,0,0
55,26.14,8.28,0.00,0,0
56,23.61,0.00,0.00,0,0
57,7.54,5.47,9.05,0,0
58,11.90,7.31,11.32,1,0
59,0.09,17.16,19.90,2,0
60,4.37,23.01,37.48,3,0
61,8.17,25.75,44.44,4,0
62,10.12,28.94,42.17,5,0
63,19.98,35.70,0.00,0,1
64,25.16,27.39,0.00,0,1
65,22.19,20.33,0.00,0,0
66,29.82,12.80,0.00,0,1
67,22.41,10.19,0.00,0,1
68,22.44,1.50,0.00,0,0
69,13.40,4.21,0.85,0,0
70,11.82,9.96,3.56,0,0
71,4.18,8.93,18.54,1,0
